video_name,stroke,reason
d4e34e3e_IMG_6557_Backhand_f1694-1707.mp4,Backhand,excluded_by_user
750cdfaf_IMG_6593_Backhand_Volley_f5229-5240.mp4,Backhand_Volley,excluded_by_user
750cdfaf_IMG_6593_Backhand_Volley_f5449-5460.mp4,Backhand_Volley,excluded_by_user
750cdfaf_IMG_6593_Backhand_Volley_f7476-7489.mp4,Backhand_Volley,excluded_by_user
a9675986_IMG_6589_Backhand_Volley_f6691-6703.mp4,Backhand_Volley,excluded_by_user
448aeb92_IMG_6552_Bandeja_f9670-9685.mp4,Vibora_Bandeja,excluded_by_user
a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Forehand_f4230-4241.mp4,Forehand,excluded_by_user
d4e34e3e_IMG_6557_Forehand_f2667-2682.mp4,Forehand,excluded_by_user
448aeb92_IMG_6552_Forehand_Volley_f20905-20918.mp4,Forehand_Volley,excluded_by_user
448aeb92_IMG_6552_Forehand_Volley_f20947-20958.mp4,Forehand_Volley,excluded_by_user
448aeb92_IMG_6552_Forehand_Volley_f21006-21019.mp4,Forehand_Volley,excluded_by_user
448aeb92_IMG_6552_Forehand_Volley_f6995-7007.mp4,Forehand_Volley,excluded_by_user
448aeb92_IMG_6552_Forehand_Volley_f9530-9542.mp4,Forehand_Volley,excluded_by_user
4965c88d_IMG_6592_Forehand_Volley_f18594-18606.mp4,Forehand_Volley,excluded_by_user
750cdfaf_IMG_6593_Forehand_Volley_f17495-17507.mp4,Forehand_Volley,excluded_by_user
750cdfaf_IMG_6593_Forehand_Volley_f22923-22935.mp4,Forehand_Volley,excluded_by_user
448aeb92_IMG_6552_Smash_f4258-4268.mp4,Smash,excluded_by_user
4965c88d_IMG_6592_Smash_f18630-18642.mp4,Smash,excluded_by_user
750cdfaf_IMG_6593_Smash_f4890-4902.mp4,Smash,excluded_by_user
a9675986_IMG_6589_Smash_f3266-3280.mp4,Smash,excluded_by_user
d4e34e3e_IMG_6557_Smash_f8607-8622.mp4,Smash,excluded_by_user
448aeb92_IMG_6552_Vibora_f21687-21703.mp4,Vibora_Bandeja,excluded_by_user
